Lattitude,Longitude
-76.98,36.28
-81.77,33.56
-81.72,33.52
-81.70,33.58
-81.65,41.13
-81.58,41.11
-81.57,41.06
-81.55,41.01
-81.53,41.02
-81.51,41.03
-81.50,41.08
-81.49,40.99
-81.49,41.04
-81.47,41.11
-81.43,41.03
-86.82,33.24
-105.96,32.89
-105.89,37.48
-123.08,44.63
-123.07,44.64
-85.14,36.70
-80.19,35.38
-93.34,43.65
-93.66,45.24
-86.21,34.28
-84.76,42.26
-106.70,35.12
-106.69,35.09
-106.68,35.03
-106.67,35.11
-106.66,35.19
-106.66,35.20
-106.65,35.09
-106.64,35.14
-106.64,35.06
-106.63,35.08
-106.60,35.10
-106.59,35.13
-106.59,35.08
-106.59,35.15
-106.59,35.11
-106.58,35.06
-106.58,35.18
-106.57,35.09
-106.55,35.14
-106.55,35.10
-106.53,35.08
-106.52,35.13
-106.51,35.08
-83.98,35.81
-83.97,35.77
-85.96,32.92
-95.38,45.86
-95.37,45.89
-92.48,31.29
-92.45,31.26
-84.39,38.97
-77.14,38.77
-77.13,38.81
-88.34,42.17
-118.14,34.08
-118.12,34.10
-80.28,40.60
-117.72,33.57
-117.71,33.57
-85.87,42.53
-85.87,42.53
-96.68,33.10
-85.91,42.97
-75.52,40.58
-75.49,40.56
-75.46,40.58
-81.13,40.90
-81.11,40.91
-79.95,40.60
-71.13,42.35
-84.67,43.40
-88.73,32.36
-84.31,34.04
-84.29,34.05
-84.29,34.07
-84.29,34.05
-84.28,34.09
-84.21,34.06
-87.72,41.67
-117.58,34.12
-81.39,28.69
-81.38,28.66
-79.27,37.12
-90.14,38.92
-93.50,41.66
-78.40,40.48
-78.37,40.52
-99.30,34.64
-95.23,29.44
-101.89,35.17
-101.88,35.19
-101.87,35.19
-101.82,35.20
-84.25,39.05
-111.79,40.38
-84.22,32.07
-93.61,42.02
-93.58,42.03
-70.91,42.85
-82.09,29.16
-90.52,30.73
-73.43,40.69
-88.46,33.97
-122.61,48.51
-117.94,33.83
-117.94,33.80
-117.91,33.82
-117.89,33.84
-117.79,33.86
-117.74,33.87
-149.95,61.14
-149.91,61.20
-149.89,61.22
-149.87,61.19
-149.87,61.14
-149.83,61.18
-149.82,61.28
-149.81,61.22
-149.78,61.20
-86.52,31.28
-85.67,40.15
-85.65,40.06
-85.65,40.11
-82.68,34.50
-82.66,34.53
-82.65,34.48
-93.23,45.29
-76.88,38.81
-120.55,38.08
-95.42,29.17
-85.00,41.66
-93.58,41.73
-93.58,41.70
-83.84,42.28
-83.78,42.28
-83.74,42.24
-83.74,42.24
-83.66,42.25
-89.23,37.46
-77.19,38.83
-76.53,38.98
-85.83,33.67
-93.39,45.20
-73.08,41.33
-112.09,33.87
-88.10,42.47
-86.66,36.05
-111.55,33.42
-111.53,33.39
-78.84,35.72
-81.45,28.67
-117.21,34.47
-93.22,44.73
-88.45,44.26
-88.42,44.27
-88.37,44.29
-88.35,44.26
-86.50,34.32
-118.04,34.11
-91.47,44.24
-86.13,40.13
-84.31,41.51
-97.16,34.17
-97.14,34.19
-122.13,48.18
-97.13,32.67
-97.12,32.69
-97.11,32.76
-77.09,38.86
-77.07,38.90
-87.97,42.11
-90.39,38.41
-90.37,38.45
-118.07,33.86
-105.17,39.81
-105.14,39.81
-105.08,39.86
-105.08,39.79
-105.05,39.84
-118.83,35.21
-74.02,40.23
-74.01,40.23
-77.47,39.04
-79.82,35.69
-82.64,35.56
-82.60,35.59
-82.55,35.62
-82.53,35.60
-82.52,35.50
-82.51,35.57
-82.71,38.40
-82.64,38.48
-82.32,40.86
-77.47,37.75
-77.47,37.76
-71.65,43.70
-75.43,39.87
-123.84,46.19
-73.92,40.76
-73.91,40.78
-73.90,40.77
-120.65,35.47
-86.94,34.78
-84.64,35.46
-83.47,33.94
-83.43,34.00
-83.42,33.95
-83.41,33.97
-83.34,33.92
-83.34,33.99
-82.10,39.33
-82.06,39.34
-84.49,33.69
-84.47,33.62
-84.41,33.68
-84.41,33.79
-84.40,33.76
-84.40,33.67
-84.39,33.75
-84.39,33.82
-84.39,33.76
-84.38,33.92
-84.38,33.77
-84.37,33.77
-84.37,33.81
-84.36,33.85
-84.35,33.72
-84.34,33.95
-84.33,33.87
-84.33,33.95
-84.33,33.83
-84.32,33.79
-84.31,33.92
-84.31,33.82
-84.27,33.91
-84.24,33.90
-94.99,41.40
-74.44,39.35
-74.43,39.36
-74.04,40.41
-87.49,31.02
-71.36,41.91
-122.25,47.30
-122.23,47.30
-121.06,38.93
-85.50,32.57
-85.48,32.61
-85.07,41.37
-84.09,43.60
-71.87,42.18
-71.84,42.20
-70.23,44.12
-70.22,44.11
-83.25,42.65
-81.78,28.05
-82.12,33.40
-82.09,33.51
-82.08,33.42
-82.08,33.47
-82.05,33.51
-82.03,33.41
-82.01,33.44
-82.00,33.48
-69.80,44.31
-104.85,39.66
-104.85,39.73
-104.85,39.70
-104.82,39.70
-104.81,39.74
-104.81,39.77
-104.81,39.65
-104.79,39.63
-104.79,39.67
-104.79,39.70
-104.75,39.61
-88.37,41.76
-88.31,41.78
-88.28,41.76
-88.26,41.75
-88.26,41.73
-88.24,41.76
-88.21,41.76
-84.89,39.07
-84.65,33.84
-97.84,30.24
-97.82,30.17
-97.79,30.45
-97.79,30.45
-97.77,30.19
-97.75,30.31
-97.74,30.23
-97.74,30.29
-97.73,30.40
-97.72,30.24
-97.70,30.37
-92.98,43.68
-80.86,41.79
-80.77,41.13
-80.76,41.10
-74.29,40.58
-106.52,39.63
-82.02,41.46
-82.02,41.49
-81.51,27.60
-112.31,33.44
-112.29,33.49
-77.13,37.74
-79.20,33.99
-117.89,34.13
-83.00,43.82
-80.24,40.66
-91.17,30.59
-91.13,30.56
-119.11,35.38
-119.09,35.35
-119.09,35.32
-119.06,35.35
-119.06,35.41
-119.05,35.34
-119.04,35.40
-119.04,35.37
-119.03,35.32
-119.00,35.39
-118.97,35.40
-118.94,35.38
-118.91,35.35
-73.61,40.66
-117.98,34.07
-117.97,34.09
-90.58,38.59
-90.50,38.59
-76.70,39.36
-76.68,39.19
-76.67,39.34
-76.65,39.32
-76.64,39.25
-76.64,39.31
-76.63,39.32
-76.62,39.29
-76.62,39.29
-76.61,39.38
-76.60,39.29
-76.59,39.29
-76.56,39.30
-76.53,39.30
-68.81,44.82
-68.78,44.79
-68.74,44.84
-89.77,43.48
-81.60,41.01
-82.30,38.41
-82.26,38.42
-85.47,37.83
-88.14,30.68
-81.38,33.24
-75.92,41.23
-72.51,44.20
-72.44,44.16
-88.14,42.16
-75.05,39.87
-117.04,34.89
-117.00,34.89
-89.84,35.20
-88.18,42.00
-81.84,27.91
-88.34,41.85
-88.31,41.85
-91.63,35.77
-89.93,34.31
-69.82,43.91
-91.18,30.42
-91.16,30.52
-91.15,30.50
-91.14,30.42
-91.13,30.50
-91.11,30.36
-91.11,30.39
-91.11,30.47
-91.09,30.45
-91.09,30.39
-91.05,30.46
-85.24,42.30
-85.23,42.35
-85.20,42.26
-85.20,42.30
-85.18,42.34
-85.14,42.31
-82.35,31.78
-83.95,43.56
-83.92,43.61
-83.90,43.62
-87.79,30.88
-73.26,40.71
-74.13,40.65
-74.10,40.69
-73.77,40.76
-94.98,29.80
-94.98,29.77
-94.95,29.74
-74.16,39.92
-96.75,40.27
-80.71,32.44
-76.65,34.73
-116.95,33.93
-94.17,30.08
-94.16,30.13
-94.13,30.07
-94.12,30.10
-94.11,30.10
-88.82,43.46
-80.37,40.77
-122.87,45.49
-122.86,45.53
-122.84,45.53
-122.84,45.52
-122.81,45.50
-122.79,45.49
-122.79,45.49
-81.20,37.79
-81.19,37.78
-81.18,37.81
-86.51,38.86
-81.54,41.39
-81.50,41.41
-78.49,40.02
-73.72,41.22
-74.64,40.65
-86.08,39.71
-76.35,39.53
-76.34,39.58
-76.33,39.50
-76.31,39.55
-76.25,39.48
-111.19,45.77
-118.19,33.96
-95.47,29.71
-80.74,40.01
-90.00,29.87
-80.67,26.67
-80.67,26.68
-79.84,40.14
-79.78,40.16
-83.76,40.33
-82.05,29.06
-90.02,38.54
-83.54,42.21
-83.49,42.22
-83.45,42.25
-122.18,47.62
-122.17,47.56
-122.15,47.63
-95.97,41.14
-95.94,41.16
-95.92,41.17
-95.91,41.15
-84.49,39.10
-82.86,41.28
-118.12,33.87
-122.48,48.78
-122.47,48.73
-75.08,39.87
-82.54,40.65
-87.89,41.89
-74.05,40.17
-89.04,42.52
-88.98,42.52
-94.50,38.81
-76.91,39.03
-88.85,42.27
-88.84,42.24
-94.91,47.49
-94.88,47.47
-79.68,34.61
-73.20,42.89
-74.94,40.09
-87.94,41.96
-95.60,45.32
-80.00,40.13
-88.94,38.00
-86.44,42.08
-86.42,42.08
-84.31,37.57
-81.89,41.37
-81.85,41.39
-96.79,43.08
-74.00,40.94
-83.20,42.50
-74.93,39.79
-74.91,39.78
-106.53,35.32
-74.56,40.72
-76.25,41.05
-87.80,41.83
-87.79,41.85
-87.79,41.87
-87.19,33.52
-87.00,33.36
-86.97,33.40
-90.06,38.90
-94.01,40.27
-73.42,41.37
-80.05,40.35
-80.02,40.33
-77.15,39.02
-77.11,38.97
-75.42,40.63
-75.42,40.66
-75.38,40.61
-75.35,40.64
-75.34,40.68
-73.48,40.73
-70.88,42.56
-70.86,42.57
-70.86,42.57
-70.47,43.48
-116.90,34.24
-82.06,40.58
-71.27,42.55
-108.57,45.76
-108.55,45.78
-108.54,45.76
-108.51,45.79
-108.47,45.81
-108.41,45.81
-88.98,30.40
-88.90,30.44
-83.78,43.25
-86.89,33.55
-86.88,33.50
-86.85,33.51
-86.83,33.44
-86.82,33.47
-86.81,33.50
-86.81,33.41
-86.79,33.45
-86.77,33.58
-86.73,33.56
-86.72,33.52
-86.71,33.65
-86.71,33.43
-86.70,33.53
-86.69,33.60
-86.66,33.64
-86.62,33.64
-80.42,37.23
-82.25,31.30
-75.05,39.76
-93.26,45.13
-96.13,41.54
-72.71,41.82
-83.29,42.60
-83.28,42.55
-88.12,41.95
-117.40,34.07
-93.31,44.84
-86.58,39.16
-86.53,39.18
-86.53,39.19
-86.53,39.14
-86.50,39.16
-76.49,41.02
-76.43,41.01
-85.05,30.44
-75.31,40.15
-87.70,41.66
-73.04,40.75
-84.33,34.87
-94.27,39.02
-94.25,39.03
-81.32,37.24
-81.25,37.28
-85.17,40.75
-83.87,40.89
-114.61,33.61
-89.87,35.93
-80.71,41.02
-80.64,41.02
-86.15,34.19
-88.75,35.92
-80.09,26.35
-89.86,30.79
-73.09,40.76
-116.34,43.66
-116.29,43.62
-116.29,43.59
-116.28,43.61
-116.24,43.59
-116.21,43.62
-116.19,43.60
-116.16,43.54
-88.12,41.70
-88.07,41.71
-88.07,41.69
-88.99,35.26
-96.19,33.59
-85.68,30.77
-81.81,26.35
-81.81,26.33
-81.29,38.15
-81.66,36.20
-88.56,34.67
-69.63,43.86
-93.72,32.52
-93.70,32.52
-71.10,42.35
-71.10,42.34
-71.09,42.34
-71.08,42.31
-71.08,42.35
-71.07,42.35
-71.06,42.36
-71.06,42.36
-71.06,42.36
-71.06,42.35
-71.05,42.34
-71.05,42.29
-71.01,42.39
-79.04,40.15
-122.22,47.79
-105.26,40.02
-105.20,40.07
-74.55,40.57
-111.89,40.88
-87.89,41.16
-87.85,41.18
-90.41,29.89
-76.76,38.99
-86.47,36.96
-86.47,36.98
-86.44,36.98
-86.42,36.94
-83.65,41.40
-83.65,41.36
-83.63,41.37
-80.09,26.53
-80.08,26.52
-111.06,45.68
-82.59,27.46
-82.55,27.45
-87.88,41.14
-71.00,42.20
-90.02,32.28
-90.02,32.28
-90.00,32.29
-89.99,32.35
-82.29,27.94
-82.27,27.89
-72.84,41.28
-72.56,42.84
-117.90,33.92
-117.87,33.91
-89.53,38.62
-75.62,40.58
-86.17,41.45
-122.67,47.63
-122.66,47.57
-122.63,47.57
-122.63,47.60
-96.40,30.14
-96.40,30.14
-76.95,38.94
-82.73,35.24
-68.74,44.78
-73.58,41.42
-87.07,31.13
-74.14,40.05
-83.87,43.35
-80.25,39.29
-80.23,39.34
-73.21,41.22
-73.19,41.20
-75.21,39.45
-80.12,40.35
-74.58,40.56
-74.58,40.56
-71.03,41.96
-71.00,41.98
-70.97,41.99
-74.40,39.39
-112.02,41.49
-104.80,39.99
-83.79,42.54
-74.85,40.11
-72.95,41.68
-72.91,41.70
-78.75,38.56
-71.07,42.07
-71.04,42.07
-75.39,40.92
-95.80,36.07
-95.77,36.05
-73.92,40.83
-73.92,40.84
-73.92,40.82
-73.91,40.81
-73.91,40.85
-73.90,40.87
-73.90,40.89
-73.90,40.86
-73.89,40.82
-73.88,40.88
-73.87,40.86
-73.86,40.83
-73.86,40.84
-73.86,40.90
-73.85,40.88
-73.84,40.84
-73.82,40.87
-81.80,41.40
-88.14,43.04
-73.41,41.44
-75.39,39.88
-73.02,40.93
-96.77,44.31
-96.75,44.31
-84.25,42.11
-76.61,39.22
-74.03,40.62
-74.01,40.64
-74.01,40.65
-74.00,40.63
-73.99,40.60
-73.99,40.69
-73.99,40.58
-73.98,40.69
-73.98,40.65
-73.97,40.59
-73.96,40.60
-73.96,40.61
-73.95,40.73
-73.95,40.63
-73.95,40.68
-73.94,40.70
-73.93,40.59
-73.93,40.64
-73.93,40.61
-73.92,40.65
-73.92,40.70
-73.92,40.63
-73.92,40.64
-73.90,40.64
-73.87,40.68
-93.32,45.06
-93.35,45.09
-93.30,45.11
-95.95,29.78
-95.94,29.75
-82.24,28.52
-79.10,41.17
-75.36,39.97
-105.09,39.93
-105.07,39.91
-102.27,33.18
-74.59,39.97
-86.39,39.86
-83.27,42.14
-97.50,25.98
-97.50,25.94
-97.48,25.92
-97.43,25.94
-89.26,35.59
-98.98,31.73
-81.84,41.28
-81.80,41.24
-81.52,31.22
-81.49,31.22
-81.49,31.19
-69.97,43.92
-69.92,43.91
-84.55,41.46
-77.07,38.63
-92.50,34.62
-83.44,35.42
-112.59,33.43
-80.21,38.99
-82.99,40.79
-120.19,34.61
-74.92,39.51
-74.92,39.52
-118.00,33.85
-118.00,33.85
-118.00,33.88
-117.99,33.84
-79.36,37.74
-93.87,45.18
-87.99,42.14
-87.96,42.16
-84.00,34.09
-83.99,34.06
-83.95,34.14
-114.59,35.12
-93.97,30.44
-118.32,34.18
-87.80,41.75
-87.78,41.73
-87.74,41.73
-82.00,41.00
-77.30,38.79
-97.32,32.56
-122.34,48.46
-102.28,39.30
-84.70,39.02
-79.49,36.08
-79.43,36.07
-79.41,36.10
-74.85,40.07
-74.84,40.08
-74.83,40.04
-74.82,40.04
-71.21,42.47
-93.30,44.77
-93.28,44.75
-93.26,44.78
-82.30,35.92
-83.69,42.97
-83.63,43.03
-76.93,39.11
-79.93,40.87
-79.92,40.84
-79.91,40.89
-74.36,41.00
-112.51,45.98
-70.60,41.75
-89.26,42.13
-83.74,32.66
-116.77,33.92
-92.03,34.98
-91.96,34.94
-84.20,30.88
-67.28,45.19
-115.50,32.67
-84.94,34.49
-84.94,34.50
-117.06,33.99
-81.83,30.56
-87.66,41.66
-119.04,34.22
-81.58,40.00
-81.57,40.03
-76.06,38.57
-71.15,42.39
-71.14,42.40
-71.10,42.36
-71.08,42.37
-85.14,39.85
-80.60,34.25
-94.23,39.75
-76.94,40.22
-117.35,33.31
-111.87,34.57
-85.37,37.34
-81.57,40.88
-103.33,34.39
-118.59,34.20
-105.21,38.45
-80.13,40.27
-95.86,32.58
-84.42,34.18
-83.49,42.27
-83.48,42.32
-83.45,42.33
-82.85,35.55
-81.44,40.85
-81.43,40.80
-81.42,40.78
-81.42,40.86
-81.39,40.83
-81.38,40.77
-81.38,40.80
-81.33,40.84
-75.15,44.60
-87.30,30.58
-118.47,34.42
-81.97,26.65
-81.95,26.56
-81.94,26.63
-89.57,37.29
-89.55,37.31
-74.94,38.98
-74.82,39.09
-89.23,37.73
-89.19,37.73
-75.51,41.57
-92.03,30.32
-77.17,40.20
-117.33,33.18
-117.27,33.10
-74.10,40.84
-86.13,40.01
-86.12,39.96
-121.35,38.60
-121.33,38.63
-83.41,43.48
-88.15,41.94
-88.11,41.89
-88.26,42.14
-79.09,35.91
-94.88,42.07
-96.89,32.95
-96.89,33.01
-85.11,38.64
-85.08,33.56
-85.05,33.59
-118.29,33.84
-118.27,33.82
-118.26,33.82
-119.77,39.19
-119.77,39.16
-74.23,40.59
-84.80,34.27
-84.79,34.17
-78.78,35.74
-78.77,35.83
-111.74,32.88
-111.69,32.88
-111.67,32.83
-81.34,28.66
-81.32,28.63
-118.62,34.50
-122.90,46.29
-104.86,39.38
-116.48,33.79
-116.46,33.82
-76.76,39.29
-76.73,39.29
-85.97,37.13
-81.10,33.95
-92.43,42.51
-74.23,40.84
-87.45,41.38
-97.82,30.50
-91.72,41.98
-91.68,42.03
-91.67,41.94
-91.66,42.04
-91.63,42.03
-91.62,41.98
-87.99,43.28
-85.25,34.02
-84.57,40.55
-104.90,39.57
-83.03,42.49
-73.08,40.86
