"CA34 Wage and salary summary"
"Wage and salary employment (number of jobs)" 
"Bureau of Economic Analysis" 
"County"
"05035","Crittenden, AR",17121
"05037","Cross, AR",5682
"05039","Dallas, AR",3149
"05041","Desha, AR",5239
"05043","Drew, AR",7279
"05045","Faulkner, AR",44718
"05047","Franklin, AR",4868
"05049","Fulton, AR",2213
"05051","Garland, AR",38690
"05053","Grant, AR",4016
"05055","Greene, AR",15496
"05057","Hempstead, AR",9295
"05059","Hot Spring, AR",9198
"05061","Howard, AR",7728
"05063","Independence, AR",16154
"05065","Izard, AR",3425
"05067","Jackson, AR",5838
"05069","Jefferson, AR",34644
"05071","Johnson, AR",9323
"05073","Lafayette, AR",1537
"05075","Lawrence, AR",4559
"05077","Lee, AR",2439
"05079","Lincoln, AR",3536
"05081","Little River, AR",4163
"05083","Logan, AR",5986
"05085","Lonoke, AR",14306
"05087","Madison, AR",3487
"05089","Marion, AR",3909
"05091","Miller, AR",14664
"05093","Mississippi, AR",20922
"05095","Monroe, AR",2542
"05097","Montgomery, AR",1905
"05099","Nevada, AR",2493
"05101","Newton, AR",1280
"05103","Ouachita, AR",8308
"05105","Perry, AR",1577
"05107","Phillips, AR",7213
"05109","Pike, AR",2747
"05111","Poinsett, AR",5774
"05113","Polk, AR",6538
"05115","Pope, AR",28661
"05117","Prairie, AR",1718
"05119","Pulaski, AR",268935
"05121","Randolph, AR",5230
"05123","St. Francis, AR",9023
"05125","Saline, AR",22999
"05127","Scott, AR",3244
"05129","Searcy, AR",1874
"05131","Sebastian, AR",70117
"05133","Sevier, AR",5634
"05135","Sharp, AR",4052
"05137","Stone, AR",2921
"05139","Union, AR",18581
"05141","Van Buren, AR",4203
"05143","Washington, AR",99318
"05145","White, AR",28299
"05147","Woodruff, AR",2200
"05149","Yell, AR",6863
"06001","Alameda, CA",671680
"06003","Alpine, CA",891
"06005","Amador, CA",12197
"06007","Butte, CA",73578
"06009","Calaveras, CA",8064
"06011","Colusa, CA",8708
"06013","Contra Costa, CA",336177
"06015","Del Norte, CA",8328
"06017","El Dorado, CA",50394
"06019","Fresno, CA",343936
"06021","Glenn, CA",8113
"06023","Humboldt, CA",48281
"06025","Imperial, CA",56810
"06027","Inyo, CA",7835
"06029","Kern, CA",293951
"06031","Kings, CA",46849
"06033","Lake, CA",13867
"06035","Lassen, CA",10700
"06037","Los Angeles, CA",4096635
"06039","Madera, CA",44294
"06041","Marin, CA",111701
"06043","Mariposa, CA",5504
"06045","Mendocino, CA",30134
"06047","Merced, CA",69805
"06049","Modoc, CA",2683
"06051","Mono, CA",7326
"06053","Monterey, CA",179092
"06055","Napa, CA",68033
"06057","Nevada, CA",29920
"06059","Orange, CA",1464868
"06061","Placer, CA",135058
"06063","Plumas, CA",6232
"06065","Riverside, CA",590804
"06067","Sacramento, CA",601712
"06069","San Benito, CA",14413
"06071","San Bernardino, CA",648627
"06073","San Diego, CA",1426618
"06075","San Francisco, CA",584253
"06077","San Joaquin, CA",210917
"06079","San Luis Obispo, CA",107535
"06081","San Mateo, CA",348628
"06083","Santa Barbara, CA",192806
"06085","Santa Clara, CA",916880
"06087","Santa Cruz, CA",96706
"06089","Shasta, CA",62104
"06091","Sierra, CA",817
"06093","Siskiyou, CA",13454
"06095","Solano, CA",132688
"06097","Sonoma, CA",187007
"06099","Stanislaus, CA",166726
"06101","Sutter, CA",27012
"06103","Tehama, CA",16133
"06105","Trinity, CA",2678
"06107","Tulare, CA",149917
"06109","Tuolumne, CA",17218
"06111","Ventura, CA",319009
"06113","Yolo, CA",97964
"06115","Yuba, CA",20165
"08001","Adams, CO",165374
"08003","Alamosa, CO",8385
"08005","Arapahoe, CO",297070
"08007","Archuleta, CO",3559
"08009","Baca, CO",1361
"08011","Bent, CO",1489
"08013","Boulder, CO",169975
"08014","Broomfield, CO",31988
"08015","Chaffee, CO",6924
"08017","Cheyenne, CO",836
"08019","Clear Creek, CO",3331
"08021","Conejos, CO",1477
"08023","Costilla, CO",768
"08025","Crowley, CO",1227
"08027","Custer, CO",920
"08029","Delta, CO",8875
"08031","Denver, CO",453491
"08033","Dolores, CO",454
"08035","Douglas, CO",97675
"08037","Eagle, CO",29337
"08039","Elbert, CO",3437
"08041","El Paso, CO",287952
"08043","Fremont, CO",13998
"08045","Garfield, CO",25575
"08047","Gilpin, CO",5554
"08049","Grand, CO",6833
"08051","Gunnison, CO",8286
"08053","Hinsdale, CO",302
"08055","Huerfano, CO",1943
"08057","Jackson, CO",605
"08059","Jefferson, CO",219060
"08061","Kiowa, CO",637
"08063","Kit Carson, CO",3144
"08065","Lake, CO",2087
"08067","La Plata, CO",24903
"08069","Larimer, CO",140016
"08071","Las Animas, CO",5719
"08073","Lincoln, CO",2337
"08075","Logan, CO",8917
"08077","Mesa, CO",61648
"08079","Mineral, CO",508
"08081","Moffat, CO",5370
"08083","Montezuma, CO",9397
"08085","Montrose, CO",14259
"08087","Morgan, CO",12536
"08089","Otero, CO",6698
"08091","Ouray, CO",1447
"08093","Park, CO",2430
"08095","Phillips, CO",1599
"08097","Pitkin, CO",16032
"08099","Prowers, CO",5069
"08101","Pueblo, CO",60915
"08103","Rio Blanco, CO",3367
"08105","Rio Grande, CO",4473
"08107","Routt, CO",13853
"08109","Saguache, CO",1876
"08111","San Juan, CO",293
"08113","San Miguel, CO",4756
"08115","Sedgwick, CO",875
"08117","Summit, CO",18462
"08119","Teller, CO",7213
"08121","Washington, CO",1298
"08123","Weld, CO",88581
"08125","Yuma, CO",4308
"09001","Fairfield, CT",437924
"09003","Hartford, CT",522802
"09005","Litchfield, CT",63762
"09007","Middlesex, CT",69197
"09009","New Haven, CT",378590
"09011","New London, CT",138132
