"CA1-3 Personal income summary"
"Per capita personal income (dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"Fips","Area","2009","2010","2011"
"04007","Gila, AZ",30050,30445,31846
"04009","Graham, AZ",23509,24339,25215
"04011","Greenlee, AZ",29244,29848,31333
"04012","La Paz, AZ",25903,26412,29053
"04013","Maricopa, AZ",36272,36695,38071
"04015","Mohave, AZ",24975,25165,26145
"04017","Navajo, AZ",24436,24725,25554
"04019","Pima, AZ",33803,33884,34961
"04021","Pinal, AZ",23421,22752,24287
"04023","Santa Cruz, AZ",23783,24271,25037
"04025","Yavapai, AZ",28574,28488,29490
"04027","Yuma, AZ",25998,26351,27091
"05001","Arkansas, AR",37773,38306,40173
"05003","Ashley, AR",30808,32699,34789
"05005","Baxter, AR",30671,31075,32335
"05007","Benton, AR",34198,35130,36744
"05009","Boone, AR",28818,29416,30524
"05011","Bradley, AR",27409,28800,30467
"05013","Calhoun, AR",27743,27272,28356
"05015","Carroll, AR",25764,25967,27121
"05017","Chicot, AR",29746,30245,32320
"05019","Clark, AR",28329,29254,30386
"05021","Clay, AR",28519,29254,30639
"05023","Cleburne, AR",31872,32980,34924
"05025","Cleveland, AR",31046,31783,32051
"05027","Columbia, AR",30465,31536,33253
"05029","Conway, AR",30689,31442,33021
"05031","Craighead, AR",30546,31359,32588
"05033","Crawford, AR",26233,26789,27699
"05035","Crittenden, AR",29884,30597,31850
"05037","Cross, AR",28722,29682,30939
"05039","Dallas, AR",29065,29918,30035
"05041","Desha, AR",29915,30943,33101
"05043","Drew, AR",28512,29843,31086
"05045","Faulkner, AR",31037,31658,33255
"05047","Franklin, AR",28870,29770,30593
"05049","Fulton, AR",25212,25611,26723
"05051","Garland, AR",33076,34038,35355
"05053","Grant, AR",31153,31498,32601
"05055","Greene, AR",27175,27819,28709
"05057","Hempstead, AR",25945,27123,29075
"05059","Hot Spring, AR",25792,26239,27724
"05061","Howard, AR",26612,26495,27810
"05063","Independence, AR",29849,30109,31088
"05065","Izard, AR",24578,24966,26469
"05067","Jackson, AR",29287,29942,31055
"05069","Jefferson, AR",29691,30414,31627
"05071","Johnson, AR",23772,23986,24551
"05073","Lafayette, AR",25353,25960,27125
"05075","Lawrence, AR",26139,26328,27323
"05077","Lee, AR",25721,27690,30642
"05079","Lincoln, AR",24039,25220,25991
"05081","Little River, AR",28132,28836,30182
"05083","Logan, AR",25102,25854,26773
"05085","Lonoke, AR",31245,31459,32972
"05087","Madison, AR",22495,22380,21921
"05089","Marion, AR",25122,25450,26684
"05091","Miller, AR",30666,31817,33539
"05093","Mississippi, AR",27778,30283,32741
"05095","Monroe, AR",28872,29790,31733
"05097","Montgomery, AR",23234,23507,24211
"05099","Nevada, AR",27453,28425,29912
"05101","Newton, AR",23837,24520,26127
"05103","Ouachita, AR",28946,29844,31006
"05105","Perry, AR",30678,30825,32041
"05107","Phillips, AR",29086,29861,31314
"05109","Pike, AR",27689,27799,28651
"05111","Poinsett, AR",28282,28876,30350
"05113","Polk, AR",23116,23847,24263
"05115","Pope, AR",27258,28105,29007
"05117","Prairie, AR",30922,30294,31744
"05119","Pulaski, AR",42209,42438,43938
"05121","Randolph, AR",25954,26639,27362
"05123","St. Francis, AR",24297,25121,26373
"05125","Saline, AR",36149,36977,39040
"05127","Scott, AR",22547,22474,23116
"05129","Searcy, AR",24360,24598,25926
"05131","Sebastian, AR",36023,35717,37052
"05133","Sevier, AR",23040,23163,22926
"05135","Sharp, AR",23702,24588,25214
"05137","Stone, AR",25214,24631,25411
"05139","Union, AR",39470,40486,42335
"05141","Van Buren, AR",26278,26725,29457
"05143","Washington, AR",30970,32269,33220
"05145","White, AR",28157,28655,29624
"05147","Woodruff, AR",27625,28723,31375
"05149","Yell, AR",24734,25791,26772
"06001","Alameda, CA",46338,47603,49617
"06003","Alpine, CA",39564,41242,49274
"06005","Amador, CA",34328,34460,35689
"06007","Butte, CA",31267,32033,33356
"06009","Calaveras, CA",33326,34046,35828
"06011","Colusa, CA",42113,43110,46741
"06013","Contra Costa, CA",53745,54817,57011
"06015","Del Norte, CA",25868,26383,27220
"06017","El Dorado, CA",46861,48240,49967
"06019","Fresno, CA",30042,30583,31542
"06021","Glenn, CA",32352,33834,36796
"06023","Humboldt, CA",31133,32067,33308
"06025","Imperial, CA",27408,27503,28351
"06027","Inyo, CA",35147,36074,37905
"06029","Kern, CA",28342,29772,31400
"06031","Kings, CA",24872,26905,29407
"06033","Lake, CA",31448,31921,33375
"06035","Lassen, CA",25886,27272,28855
"06037","Los Angeles, CA",40111,41025,42564
"06039","Madera, CA",25234,26874,28631
"06041","Marin, CA",79902,82498,85761
"06043","Mariposa, CA",31520,32779,34103
"06045","Mendocino, CA",33594,34733,36211
"06047","Merced, CA",26092,27092,28497
"06049","Modoc, CA",33336,33210,36148
"06051","Mono, CA",38075,38824,41370
"06053","Monterey, CA",39853,40055,41138
"06055","Napa, CA",48146,48765,51253
"06057","Nevada, CA",40980,42441,44313
"06059","Orange, CA",48624,48760,50440
"06061","Placer, CA",45750,46617,48476
"06063","Plumas, CA",36368,37702,39339
"06065","Riverside, CA",28865,29029,29927
"06067","Sacramento, CA",37023,37137,38202
"06069","San Benito, CA",34133,33904,35029
"06071","San Bernardino, CA",28995,29192,29998
"06073","San Diego, CA",44107,44951,46800
"06075","San Francisco, CA",66677,69351,74349
"06077","San Joaquin, CA",29995,30251,31013
"06079","San Luis Obispo, CA",37777,38636,40322
"06081","San Mateo, CA",65414,66629,69577
"06083","Santa Barbara, CA",42581,43120,45219
"06085","Santa Clara, CA",54086,57433,61833
"06087","Santa Cruz, CA",45647,46586,48883
"06089","Shasta, CA",33730,34431,35466
"06091","Sierra, CA",31976,33143,36307
"06093","Siskiyou, CA",31956,32594,33928
"06095","Solano, CA",37476,36929,38078
"06097","Sonoma, CA",42661,43274,45331
"06099","Stanislaus, CA",30144,31006,32115
"06101","Sutter, CA",32731,32595,33908
"06103","Tehama, CA",25489,26325,27592
"06105","Trinity, CA",27600,29064,30389
"06107","Tulare, CA",26470,27982,29640
"06109","Tuolumne, CA",33833,34997,36680
"06111","Ventura, CA",43607,44226,45855
"06113","Yolo, CA",35823,35855,36896
"06115","Yuba, CA",28422,29133,30437
"08001","Adams, CO",31933,31849,33061
"08003","Alamosa, CO",31993,32115,33402
"08005","Arapahoe, CO",46922,47622,48989
"08007","Archuleta, CO",29300,29743,31536
"08009","Baca, CO",37804,41256,44860
"08011","Bent, CO",21557,22465,23827
"08013","Boulder, CO",48891,50031,51893
"08014","Broomfield, CO",38160,38930,40892
"08015","Chaffee, CO",30496,30671,32246
"08017","Cheyenne, CO",45117,57343,57591
"08019","Clear Creek, CO",52386,53554,55335
"08021","Conejos, CO",23625,23509,25638
"08023","Costilla, CO",26548,25735,27127
"08025","Crowley, CO",15677,16031,16752
"08027","Custer, CO",32719,31819,34793
"08029","Delta, CO",28655,29156,31307
"08031","Denver, CO",49582,52365,54537
"08033","Dolores, CO",25098,26525,29250
"08035","Douglas, CO",62500,65874,71463
"08037","Eagle, CO",46042,46358,48618
"08039","Elbert, CO",42738,42063,44606
"08041","El Paso, CO",37151,37915,39909
"08043","Fremont, CO",25934,26477,27440
"08045","Garfield, CO",37077,36019,37858
"08047","Gilpin, CO",40509,41032,43444
"08049","Grand, CO",35867,36190,38504
"08051","Gunnison, CO",32595,33019,34293
"08053","Hinsdale, CO",36331,38722,41284
"08055","Huerfano, CO",29662,29637,31380
"08057","Jackson, CO",39672,40255,44604
"08059","Jefferson, CO",44105,44017,45179
"08061","Kiowa, CO",40643,46599,43447
"08063","Kit Carson, CO",32664,36867,39383
"08065","Lake, CO",27616,28346,29274
"08067","La Plata, CO",40751,42346,43453
"08069","Larimer, CO",37302,38109,39767
"08071","Las Animas, CO",29202,30002,31961
"08073","Lincoln, CO",28096,29178,31153
"08075","Logan, CO",32522,32785,34725
"08077","Mesa, CO",33905,33647,35169
"08079","Mineral, CO",39577,41555,45243
"08081","Moffat, CO",38718,37126,40945
"08083","Montezuma, CO",31765,32323,34015
"08085","Montrose, CO",29398,29828,30933
"08087","Morgan, CO",29095,30722,33489
"08089","Otero, CO",29806,29993,31370
"08091","Ouray, CO",43570,40034,41898
"08093","Park, CO",33183,32769,33936
"08095","Phillips, CO",33857,34811,40055
"08097","Pitkin, CO",72642,74414,79086
"08099","Prowers, CO",31756,32499,33985
"08101","Pueblo, CO",29378,30302,31760
"08103","Rio Blanco, CO",39651,39208,40792
"08105","Rio Grande, CO",33215,31989,34051
"08107","Routt, CO",48562,48679,51628
"08109","Saguache, CO",23068,23119,24820
"08111","San Juan, CO",30693,27678,29854
"08113","San Miguel, CO",47173,46542,47742
"08115","Sedgwick, CO",42686,45194,50745
"08117","Summit, CO",41182,44037,46627
"08119","Teller, CO",39090,40242,42297
"08121","Washington, CO",33014,35516,41158
"08123","Weld, CO",27996,28447,29986
"08125","Yuma, CO",34079,37452,42572
"09001","Fairfield, CT",70175,75890,78504
"09003","Hartford, CT",49702,51241,53974
"09005","Litchfield, CT",48867,50404,53139
