FIPS ,STATE,COUNTY,Manu_Emp,Govt_Emp,Farm_Emp,Total_Emp,EMP06
47179,TN,Washington,10939,10047,2840,59722,77916
47181,TN,Wayne,2225,828,833,5904,6083
47185,TN,White,3718,910,1388,9847,11168
47189,TN,Wilson,5113,2426,2153,27902,51366
51009,VA,Amherst,1458,3645,509,12470,14262
51017,VA,Bath,285,365,153,2864,3001
51021,VA,Bland,730,594,449,2874,3094
51023,VA,Botetourt,859,1016,702,7542,16759
51027,VA,Buchanan,369,1785,125,13779,10328
51043,VA,Clarke,1109,507,606,5474,6912
51045,VA,Craig,161,203,226,1064,1733
51051,VA,Dickenson,201,917,139,5209,4935
51063,VA,Floyd,800,463,946,4107,6039
51067,VA,Franklin,4920,1549,1495,15218,22172
51071,VA,Giles,2744,783,411,7290,7022
51077,VA,Grayson,1763,619,1123,5468,4882
51091,VA,Highland,221,150,353,1306,1445
51105,VA,Lee,1166,1319,1677,7821,9441
51107,VA,Loudoun,2858,7548,1487,53570,162530
51125,VA,Nelson,354,591,524,4607,5683
51141,VA,Patrick,2724,775,812,7660,7743
51155,VA,Pulaski,6106,2139,524,16794,18673
51167,VA,Russell,1497,1446,1431,10066,11926
51169,VA,Scott,1306,1163,1914,7471,8383
51171,VA,Shenandoah,5517,1567,1207,17359,20753
51173,VA,Smyth,5517,1567,1207,17359,18656
51185,VA,Tazewell,2180,3353,675,18956,21909
51197,VA,Wythe,2278,1900,1039,12874,15410
51903,VA,Alleghany + Clifton Forge city + Covington city,2975,1718,181,12083,11873
51907,VA,Augusta  Staunton + Waynesboro,12318,8687,2212,54934,66271
51909,VA,Bedford + Bedford City,3718,2301,1513,18463,34224
51913,VA,Carroll + Galax city,637,1386,257,5733,20719
51921,VA,Frederick + Winchester,9368,4051,903,44659,67826
51929,VA,Henry + Martinsville city,13466,11710,234,142229,38449
51933,VA,Montgomery + Radford city,308,710,145,3527,58361
51939,VA,Pittsylvania + Danville,16518,5990,2281,52995,53545
51945,VA,Rockbridge + Buena Vista city + Lexington city,498,610,195,3445,20392
51947,VA,Rockingham + Harrisonburg,12593,6694,3139,54528,76930
51953,VA,Washington + Bristol city,1052,1404,268,10153,43036
51955,VA,Wise + Norton city,739,717,371,4892,22171
51968,VA,51770 + 51944,19328,15948,374,144432,163099
54001,WV,Barbour,214,806,580,4829,5697
54003,WV,Berkeley,3461,5126,953,25437,41301
54005,WV,Boone,175,1586,39,9419,10652
54007,WV,Braxton,367,796,383,4832,5913
54009,WV,Brooke,2927,1256,111,9873,10897
54011,WV,Cabell,6901,8288,445,57412,65291
54013,WV,Calhoun,249,513,207,2736,2749
54015,WV,Clay,71,579,120,1923,2981
54017,WV,Doddridge,175,363,348,1935,2756
54019,WV,Fayette,1190,3201,233,14677,16851
54021,WV,Gilmer,183,739,305,2841,3162
54023,WV,Grant,683,987,515,6895,5893
54025,WV,Greenbrier,1766,2281,1146,16233,19266
54027,WV,Hampshire,434,1488,839,5770,7719
54029,WV,Hancock,9421,1571,115,20055,15029
54031,WV,Hardy,2137,599,795,5550,8792
54033,WV,Harrison,2218,4817,713,33003,43504
54035,WV,Jackson,2579,1428,857,10313,12538
54037,WV,Jefferson,2261,2681,713,14906,20617
54039,WV,Kanawha,10187,19704,214,119419,134901
54041,WV,Lewis,840,1764,475,7401,7935
54043,WV,Lincoln,218,1064,385,4191,4889
54045,WV,Logan,814,2383,30,15113,13830
54047,WV,McDowell,126,2230,0,7993,6658
54049,WV,Marion,2914,4329,453,24557,27975
54051,WV,Marshall,2858,2128,535,14516,18234
54053,WV,Mason,1193,1536,1016,10031,9978
54055,WV,Mercer,1965,5272,588,27402,28884
54057,WV,Mineral,1852,1642,429,8939,10061
54059,WV,Mingo,257,2047,0,11792,10044
54061,WV,Monongalia,2814,14212,532,43904,60197
54063,WV,Monroe,331,901,895,3791,4373
54065,WV,Morgan,296,714,195,4100,4854
54067,WV,Nicholas,1033,1708,375,9873,11363
54069,WV,Ohio,2739,4090,193,31224,32494
54071,WV,Pendleton,847,582,854,3636,3661
54073,WV,Pleasants,694,1052,124,3799,4412
54075,WV,Pocahontas,956,842,489,4710,5192
54077,WV,Preston,770,1795,1041,9846,11812
54079,WV,Putnam,1079,1868,607,15227,25238
54081,WV,Raleigh,940,4887,321,29602,41167
54083,WV,Randolph,1236,2037,498,12203,16547
54085,WV,Ritchie,1294,526,405,4378,5422
54087,WV,Roane,726,730,556,5695,5980
54089,WV,Summers,86,1019,424,3597,3929
54091,WV,Taylor,815,1013,373,4332,4592
54093,WV,Tucker,577,604,217,3522,3836
54095,WV,Tyler,820,612,330,3225,3385
54097,WV,Upshur,1326,1229,509,9598,11679
54099,WV,Wayne,1429,2591,236,11008,12131
54101,WV,Webster,313,636,128,2707,3306
54103,WV,Wetzel,324,1191,246,6527,6214
54105,WV,Wirt,205,279,280,1391,1502
54107,WV,Wood,8876,7229,625,47834,51834
54109,WV,Wyoming,158,1646,76,7130,7053
