FIPS ,STATE,COUNTY,Manu_Emp,Govt_Emp,Farm_Emp,Total_Emp,EMP06
39079,OH  ,Jackson,2661,1455,694,11483,16102
39081,OH  ,Jefferson,5315,4044,533,32509,31714
39083,OH  ,Knox,4096,2925,1602,21343,29532
39085,OH  ,Lake,26004,11079,1189,104146,125629
39087,OH  ,Lawrence,1783,3271,661,15828,19432
39089,OH  ,Licking,9717,9467,2057,59120,76100
39099,OH  ,Mahoning,14967,16560,1039,131903,135427
39105,OH  ,Meigs,338,1256,684,7354,6431
39111,OH  ,Monroe,2632,1056,827,7334,5977
39115,OH  ,Morgan,1296,718,748,6261,5145
39119,OH  ,Muskingum,9052,4696,1391,41944,46467
39121,OH  ,Noble,593,640,680,3957,5002
39127,OH  ,Perry,1465,1669,773,9843,9467
39129,OH  ,Pickaway,4873,3464,1118,17821,20247
39131,OH  ,Pike,3567,1556,548,10011,13417
39133,OH  ,Portage,11210,13881,1105,57387,76506
39141,OH  ,Ross,5395,6052,1218,28521,35153
39145,OH  ,Scioto,2299,5370,844,27710,32033
39151,OH  ,Stark,44625,19449,1698,193793,211816
39155,OH  ,Trumbull,33617,10521,1213,109136,106661
39157,OH  ,Tuscarawas,8418,4449,1378,40238,46647
39163,OH  ,Vinton,735,828,340,3640,3490
39165,OH  ,Warren,7067,5521,1285,45620,96640
39167,OH  ,Washington,5980,3305,1157,29858,33179
39169,OH  ,Wayne,15433,7100,2716,54142,61852
42003,PA,Allegheny,80859,82250,657,819868,863720
42005,PA,Armstrong,3357,3457,1940,26031,31163
42007,PA,Beaver,9648,8865,718,65914,75486
42009,PA,Bedford,3222,2298,1482,19546,24030
42011,PA,Berks,48480,19078,4287,191435,224771
42013,PA,Blair,10996,8051,798,65321,75581
42015,PA,Bradford,7646,3093,2238,29486,32241
42019,PA,Butler,13498,8888,1513,69934,102428
42021,PA,Cambria,8963,10008,803,71761,77173
42023,PA,Cameron,1264,437,37,3109,3211
