Per capita personal income 2/,FIPS,AreaName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
3,1045,"Dale, AL",2901,2949,2935,3261,3915,4182,4371,4872,5289,5469,6000,6606,7928,8460,8940,10264,11135,11466,12234,12404,13359,15426,16074,16860,16971,16884,17462,17904,18400,19380,19918,20289,21008,21595,22473,23982,25762,26792,28350,29438
3,1047,"Dallas, AL",2359,2655,2859,3126,3498,3801,4147,4713,4601,5061,5808,6313,7253,7706,7901,8358,8905,9458,9873,10534,11358,12237,12944,13617,14003,15306,15917,16193,17138,17897,18343,19425,20456,21103,22100,23758,24871,26491,27096,28065
3,1049,"DeKalb, AL",2169,2203,2344,2718,3182,3299,3846,4259,4678,5470,6110,6633,7380,7649,7966,9064,9627,9888,10734,11622,12593,13195,13741,14692,15414,15877,16502,17308,18245,19364,19909,20722,21706,22043,22773,24279,24206,24483,25528,26059
3,1051,"Elmore, AL",2471,2632,2968,3323,3751,4069,4273,5055,5410,6195,6919,7633,8214,8710,9395,10442,11281,11963,12329,13026,13770,14429,15140,15969,16527,17580,18682,19642,20857,21807,22561,23618,24236,24511,25482,26251,27207,28649,29914,31043
3,1053,"Escambia, AL",2357,2506,2790,3039,3373,3786,3919,4523,4983,5576,6153,6714,7455,7855,8619,9204,9874,10001,10876,11067,12019,12559,13225,13623,14173,14842,15477,16157,16775,17344,17934,19073,19545,18937,20268,21583,23295,24523,25200,26612
3,1055,"Etowah, AL",2872,2901,3150,3509,3894,4293,4705,5120,5827,6526,7268,7953,8881,9084,9634,10596,11108,11601,12386,13222,14079,14501,14879,15874,16567,17441,18001,18680,19446,20046,20599,21586,22555,23264,24205,25304,26358,27360,28995,29947
3,1057,"Fayette, AL",2258,2593,2846,2928,3451,3581,4183,4888,5238,5963,6485,6914,7556,7919,8780,9458,9756,10010,10394,11103,12257,12736,13177,14205,15053,15603,16589,17069,17835,18083,18425,18904,20085,20087,20891,21456,22427,23385,24635,25014
3,1059,"Franklin, AL",2463,2547,2747,3108,3670,3805,4440,5016,5509,6531,7025,8022,9098,9186,9772,10071,10500,10920,11165,11718,12361,13112,13901,15163,15698,16472,17593,18334,18467,18650,19803,20099,21727,21490,21843,23244,24173,23905,25339,25698
3,1061,"Geneva, AL",2715,2792,3062,3258,4023,4137,4490,5045,5123,6083,6764,6390,7922,7905,8334,9698,9871,10348,10822,11877,13548,13646,14270,15457,16161,16795,17538,18004,18421,19676,20364,20095,22683,23160,24079,24816,26487,26845,28519,29419
3,1063,"Greene, AL",1218,1780,2067,2305,2608,2552,2836,3426,3454,4306,5053,4811,5579,6088,6347,6859,7314,7988,8572,9050,9832,10574,11119,11545,12194,12684,13607,13926,15014,15509,16605,17649,18614,19382,20909,23387,27096,29906,30871,31713
