Per capita personal income 2/,FIPS,AreaName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
3,13315,"Wilcox, GA",2204,2510,2974,3137,3818,4106,4090,4398,4545,4747,5420,5113,6951,7305,7620,8925,9121,9266,10212,10776,11527,12004,13407,14220,14303,16085,16733,17199,17490,18105,18794,18962,20148,20356,21454,21387,22228,21298,21967,23787
3,13317,"Wilkes, GA",2370,2609,2796,3115,3580,3890,3990,4511,4954,5541,6529,6927,7671,8172,8892,9522,9877,10969,11465,12453,13614,14687,15441,15704,16606,17572,17638,18246,18573,19385,20401,20863,21847,21562,21514,22853,24717,25530,26607,27683
3,13319,"Wilkinson, GA",2468,2684,2823,3108,3498,3904,4155,4619,5152,5813,6483,7298,8434,8851,9304,10289,10658,11355,12007,12824,13666,14070,14543,15625,15816,16455,16725,17462,18572,18901,19548,19913,20509,20944,21566,21724,22442,23569,24153,25157
3,13321,"Worth, GA",2279,2494,2713,2995,3690,3718,3777,4100,4070,5032,5637,5777,7360,7451,7780,9350,9656,9827,10365,11276,11796,12537,14172,15062,15081,17150,17535,18841,19530,20034,19824,20837,21905,22806,23951,24226,26343,27112,28331,30334
3,15001,"Hawaii, HI",3572,4207,4083,4744,5060,6859,6512,6573,7029,7530,8304,10048,9816,10105,11212,11443,11646,12312,12716,13605,15176,16238,16935,17396,17897,18240,18365,18736,18926,20006,20759,22132,23056,24140,24750,26371,28133,29873,31491,31978
3,15003,"Honolulu, HI",4741,5271,5622,5905,6381,6947,7604,8168,8619,9476,10525,11741,12834,13429,14506,15757,16521,17226,18180,19622,21438,23165,24226,25606,26183,26467,26845,26965,27753,28302,29238,30979,31304,32332,33450,35891,38057,40976,43683,45205
3,15007,"Kauai, HI",3680,4039,4001,4453,4899,6697,6280,6504,7001,7434,8224,9930,9938,10464,11522,11765,12350,12961,13342,15319,17269,18219,19339,20420,21059,21164,21847,21674,22054,22717,23373,25033,25393,25915,26949,28973,30826,33167,35606,36093
3,15901,"Maui + Kalawao, HI",3667,4313,4220,4675,5072,6647,6664,7002,7526,7998,8806,10245,10426,10933,12361,12727,13403,14259,14920,16162,18087,19213,19730,21168,21775,22184,22258,22103,22452,23473,24839,25980,26669,27856,28468,30560,32528,35440,37325,37521
3,16001,"Ada, ID",3926,4324,4650,5031,5465,6058,6806,7531,8251,9208,9853,10648,11541,12050,12688,13766,14580,14925,15759,17170,18413,19438,20200,21924,23467,25501,26739,27371,27834,29258,31163,34153,34391,34948,35473,38443,39285,42826,42949,42273
3,16003,"Adams, ID",3768,3655,4007,4476,4761,5596,6000,7184,7014,8000,8747,8822,9416,9846,10345,11591,11482,10908,12447,12942,13574,13458,13768,14331,15016,15361,15622,16317,18068,19487,20265,22111,22770,23809,24771,27689,28330,31105,31201,30835
3,16005,"Bannock, ID",3066,3312,3547,3890,4301,4930,5557,6262,6640,7371,8035,8630,9203,9628,10141,10741,11556,11458,11882,12453,13286,13915,14669,15471,16308,16804,17382,18201,18853,19914,20416,21275,22278,23067,23667,24920,26039,27256,28511,28902
3,16007,"Bear Lake, ID",2729,2722,2866,3259,3855,4338,4477,5006,5198,6049,6232,7640,7984,7727,7848,8250,8382,8397,8935,10173,10363,10862,11250,12168,12897,12825,13793,14277,15120,16341,16807,17165,19568,19952,20869,22012,23544,24140,26353,28114
3,16009,"Benewah, ID",3112,3306,3447,3939,3437,5261,5276,5850,6094,6991,7796,8016,8975,8045,9644,10247,10485,10182,10420,12263,12759,13688,14343,15705,16359,16978,17406,18506,18834,18870,19550,20251,22592,22435,23190,25225,26370,27625,29646,30697
3,16011,"Bingham, ID",3169,3286,3370,3632,4529,5398,5152,5383,5496,6254,6587,7242,8198,8296,9204,9374,9908,9978,10520,11093,12579,14226,14315,14865,15428,15352,16184,17295,16907,17828,18436,19595,20162,20651,20165,21669,21985,24023,25776,26178
3,16013,"Blaine, ID",3892,4322,4655,5300,5787,6312,6336,7518,7624,10027,10175,11582,13280,12976,13107,14388,15470,16290,16780,19286,21956,24435,25128,26851,28621,30144,32201,34266,36432,39375,41259,44543,44843,44069,45584,51957,55513,61302,65763,64875
3,16015,"Boise, ID",3071,3517,3695,4271,4635,4880,5648,6490,7229,7835,8281,8362,8743,9294,10689,10237,10503,10461,10478,12704,13921,14432,14940,16239,16932,18874,18861,19268,19272,20515,20848,22141,22691,23091,24037,24497,27639,29171,31150,32549
3,16017,"Bonner, ID",2649,2911,3197,3561,3883,4197,4372,4970,5593,6416,6925,7349,8041,7976,8861,9727,9990,10310,10999,12018,12267,13063,13572,14853,15651,16182,16403,17169,17702,18938,19922,20964,21900,21998,22831,24898,27184,29675,30907,31127
3,16019,"Bonneville, ID",3435,3708,4001,4342,4952,5477,5912,6588,7114,7706,8268,9133,9941,10350,10985,11944,12936,13322,13860,14699,15900,17007,17330,18107,18739,19398,19926,20531,21255,22294,23252,24251,25902,26619,28105,29729,32185,33750,35199,35346
3,16021,"Boundary, ID",3150,3410,3267,3841,3861,4781,4811,5467,5895,6439,6458,6822,7142,7523,8185,8363,8736,8872,9086,10106,10868,11183,12088,13005,13309,13678,13879,14826,15755,16728,17308,17771,18039,19151,19646,20500,21053,22325,23116,24382
3,16023,"Butte, ID",3533,3557,3661,4139,4956,5218,5047,5433,5600,6317,6654,7916,7759,8793,9715,10265,10463,11169,11529,11612,13071,13491,13149,14521,15846,15481,16932,16899,17422,19545,20549,22034,24916,23424,24078,26442,27189,29505,30121,34474
3,16025,"Camas, ID",4670,5366,4957,5767,6938,7801,6280,7624,8177,7786,7490,10590,10059,12234,14462,11816,11860,12041,13311,15446,16449,14815,13081,15194,17901,16668,17364,17059,20112,21723,21487,23215,23565,26575,26355,27864,28886,32228,32238,36060
3,16027,"Canyon, ID",3047,3305,3447,3817,4347,4751,5041,5338,5678,6247,6716,7420,8234,8546,9254,9752,10022,10305,10810,11677,12514,13493,13881,14691,15775,16102,16732,17244,17605,18692,19561,20247,20392,20111,20105,20710,21613,22991,23577,23173
3,16029,"Caribou, ID",3541,4133,4096,5421,6502,7365,7525,7567,7377,8918,8627,10161,10380,9542,10437,11463,11303,10538,12092,12776,13313,14598,14889,16616,16566,16715,18256,18706,20496,20390,20568,20741,21646,22595,23931,26234,27261,28677,29862,31697
3,16031,"Cassia, ID",3423,3515,3653,4251,5362,6346,5614,5738,5720,6861,6713,8048,9046,8942,10042,10550,10797,10939,11975,12916,14728,16389,16098,16028,17214,16959,17852,19459,19134,21296,22315,22508,24532,24723,24771,26398,27877,28694,31431,33794
3,16033,"Clark, ID",4721,6254,5893,6966,7325,8308,6819,7170,7029,10147,10179,12006,11959,13349,18964,18943,19361,19061,21565,26712,31264,32572,29293,26417,28656,25546,24950,28754,23121,21465,24020,23653,29235,25836,27265,27563,27461,26593,30632,43579
3,16035,"Clearwater, ID",3463,3671,3835,3923,3944,4551,5071,5972,6341,7686,8562,9099,8991,8562,9453,9599,9782,10586,11207,12094,13348,13544,14353,15038,15862,16260,16550,17323,18175,18823,19414,20258,21999,23510,24259,25528,27094,28544,29803,30873
3,16037,"Custer, ID",2898,3062,3204,3673,4479,4807,4914,5470,6065,6591,6970,8163,10586,10296,10453,10170,9704,9797,10349,12458,14938,15165,14122,15181,16176,18409,19068,18322,20614,22449,20943,22531,24271,23545,24602,24869,27173,28411,30545,32203
3,16039,"Elmore, ID",3281,3628,3484,4019,4624,5324,5674,5802,6106,6617,7019,8226,9176,9368,10302,11303,11875,12177,13034,15569,16209,17061,16552,16579,16849,15854,16633,17778,17910,18379,19443,20677,21838,23335,23865,25362,26717,28007,29218,30180
3,16041,"Franklin, ID",2614,2917,3114,3517,3815,4556,4338,4718,4616,5043,5199,6109,6248,6761,6811,7653,8134,8649,9472,9402,10666,11054,11189,12227,12786,13046,14078,15461,15901,17674,18404,19028,20097,19458,20526,22319,23188,24084,26529,26634
3,16043,"Fremont (includes Yellowstone Park), ID",2859,3036,3079,3899,4720,5118,5079,5253,5581,6067,6339,7414,8187,8210,8897,9287,9875,9363,10197,10584,12052,12719,12410,13676,13736,13840,14709,16292,16108,16845,17075,18361,18748,19699,18848,20168,21083,22218,23312,24105
3,16045,"Gem, ID",2836,2926,3312,3565,4275,4426,4752,5492,5881,6951,7466,7812,8529,9302,10168,10434,10984,11311,11228,11893,12907,13311,13794,14792,15461,16047,16571,17304,17570,18187,18595,19850,20734,20230,20427,21891,23365,25208,26584,27288
3,16047,"Gooding, ID",2588,2992,3218,3805,4304,4823,4850,4861,5106,5878,6306,7786,8377,9066,9931,10012,10601,10829,11626,12816,14451,15535,16187,16970,18436,18574,19344,20956,21275,24445,25286,23630,29019,26153,25815,32641,32677,31684,37736,38448
3,16049,"Idaho, ID",3058,3294,3414,4003,4713,5416,5123,5836,6060,6832,7411,7916,8271,8178,8948,9496,9922,10376,10990,12091,13388,13785,14334,14541,15381,15511,15340,16046,16251,17653,18360,19577,20748,21039,21599,23224,24451,25248,26771,27692
3,16051,"Jefferson, ID",2850,2985,3182,3527,4260,5242,4789,5193,5395,5579,5797,6910,7302,7663,8050,8436,9015,9267,9503,10057,11666,12671,12789,13607,14552,14194,15356,15684,16273,17603,18339,19473,20358,21239,20894,22767,22574,23745,25470,26542
3,16053,"Jerome, ID",2901,3259,3397,4007,5170,6064,5184,5163,5056,5619,6034,7298,7918,7785,8630,9412,9989,10546,11829,12299,14034,15170,14798,16197,17494,17395,18540,20066,20039,22502,23325,22851,25299,24685,24846,27953,28709,29579,32645,32343
3,16055,"Kootenai, ID",3252,3461,3779,4097,4278,4877,5206,5912,6468,7245,7891,8576,9210,9240,10272,10972,11309,11801,12384,13449,14776,15658,16284,17649,18381,19102,19501,20274,20777,22014,22573,23623,24606,24736,25508,27136,28810,30602,31976,32279
3,16057,"Latah, ID",2817,3022,3149,3456,4094,4999,4955,5563,5793,6674,7290,8135,8842,8600,9332,9932,10316,10865,11296,12063,13403,14285,14401,15256,16559,16570,17647,18614,18534,19968,20751,21997,23409,24247,23990,25632,26456,27464,29194,30156
3,16059,"Lemhi, ID",2753,3014,3262,3591,4058,4237,4548,5282,5688,6025,6996,7888,8119,8228,8386,8664,9203,10010,10441,11279,12486,12980,13198,14288,15409,16224,16701,16906,18332,19301,19780,20582,21999,22219,22950,24566,25143,26460,27879,28889
3,16061,"Lewis, ID",4125,4424,4347,5037,4899,7787,6089,6586,6399,6588,6457,8295,9585,10444,12414,11861,11531,12744,13766,14016,17262,16820,15515,16202,17724,17577,17800,18570,18692,20482,21857,23292,25230,24491,26517,28198,29185,28623,31976,38190
3,16063,"Lincoln, ID",2834,3210,3316,3831,4171,5940,5226,5417,5597,6440,7040,8336,9116,8713,9147,9290,9459,9948,11835,11548,13712,14889,13702,15214,15338,15346,15945,17753,17130,19414,20422,20663,22213,22003,21382,24069,24124,25736,28708,30603
3,16065,"Madison, ID",2166,2439,2622,2777,3411,3896,4092,5248,5649,5203,5377,6578,6862,7090,7495,7377,7715,7446,7942,8140,9043,9580,9626,9920,10564,10820,11526,12222,12429,12914,13766,14241,14446,14926,14754,14836,15265,15930,16763,17010
3,16067,"Minidoka, ID",3131,3331,3317,3829,4588,5689,5174,5154,5046,5542,6109,7183,7476,7908,8055,8616,8880,9145,10126,10814,12064,13303,13861,14260,15146,15330,15734,16284,16027,17061,17641,18524,19459,20644,19369,21598,22393,24530,26652,28671
3,16069,"Nez Perce, ID",3499,3760,4067,4438,4936,5866,6195,6707,7260,8005,8699,9479,10298,10880,11974,12458,12724,13345,13641,14612,15706,16827,17149,18476,19552,20187,20750,21711,22248,23622,24641,25677,26898,26786,27463,28897,29760,31155,33366,34472
3,16071,"Oneida, ID",3370,3614,3669,4196,5500,5050,4614,5361,4963,5894,6108,7362,7565,8526,8888,9643,9598,10129,10771,10563,11883,11806,12265,13326,14310,13428,14430,15590,15679,16499,16769,17271,17796,17218,18748,19554,20734,21605,24351,24818
3,16073,"Owyhee, ID",3056,3205,2946,3154,4142,4615,4646,4769,4987,5554,5755,6844,6770,7238,8346,8516,8770,8991,9713,10479,11847,12692,12971,13539,14924,14727,15092,15942,16524,17614,18460,19005,20383,20724,20470,23713,24713,26331,28589,28962
3,16075,"Payette, ID",2805,2988,3262,3495,4003,4318,4486,4958,5193,5796,6462,6887,7731,8375,9273,9501,9796,10320,10402,11035,11604,12397,12850,13275,14226,14563,14976,16054,16169,17347,18337,19252,20509,21428,22703,25055,26048,26492,26794,27533
3,16077,"Power, ID",4129,4587,5018,5896,8066,7956,7269,7972,8104,8919,9010,9985,12008,11548,13642,13153,12892,12947,14225,14306,16166,18515,16655,17657,18763,17462,18555,20515,18281,19103,20531,21691,19405,19694,18287,21024,21478,22032,25239,26597
3,16079,"Shoshone, ID",3334,3521,3732,3970,4291,5121,5478,5824,6329,7654,8853,9746,11323,9649,10126,10667,10834,10014,10667,12577,13278,14202,13601,14444,14402,15511,15659,17313,18237,19489,19218,19612,20673,21981,23737,26208,26582,27294,29640,30806
3,16081,"Teton, ID",2682,3038,3019,3352,3724,4558,4437,4515,4743,6105,5798,7725,8086,8116,8992,8710,8314,7916,8500,8914,10684,11976,12253,13272,14250,14164,14863,15293,15947,17265,18409,18944,20342,20436,20992,23552,24909,27268,30230,29627
3,16083,"Twin Falls, ID",3254,3669,3818,4216,4892,5827,5728,6148,6236,7107,7775,8770,9376,9863,10311,10970,11274,11622,12199,13156,14337,15096,15464,16010,17198,17860,18778,19824,20284,21233,21515,22415,24880,25372,25360,27262,28378,29368,31571,31995
3,16085,"Valley, ID",4024,4485,4954,5277,5511,5932,6625,6970,7225,8342,9255,9872,10588,10440,11012,11704,11788,12155,13118,14592,16381,17529,17628,18865,19874,21631,22338,23370,23668,25655,27200,28977,29440,30514,31261,34100,36837,38837,40170,39294
3,16087,"Washington, ID",2711,2971,3208,3545,4140,4737,4811,5160,5390,5930,6928,7019,7799,8368,8740,9981,9563,9182,9692,10290,11517,11841,12678,13619,15188,15433,15758,16665,17160,17412,18055,18321,19530,20180,20868,22209,23525,24918,26491,27446
3,17001,"Adams, IL",3566,3807,4256,4615,5277,5480,6140,6583,7162,7780,8759,9272,10305,11177,11433,12452,12902,13435,13981,14953,15667,16465,16829,18001,18179,19356,20171,21400,22327,23301,23419,24921,26045,26526,28685,30168,29891,31250,33716,35409
3,17003,"Alexander, IL",2402,2630,2912,3066,3326,3984,4562,4801,5204,5514,6080,6484,7139,7936,8592,8917,9737,9417,9645,10149,11334,11282,11929,12858,13163,13644,14131,15008,15667,16099,16292,16862,17798,17645,18853,19558,20206,20826,22442,23798
3,17005,"Bond, IL",3190,3396,3640,4023,4715,4838,5768,6149,6770,7360,7955,8038,9084,9708,9883,11273,11472,11967,12431,13324,14414,14558,14763,16586,17333,18315,17772,18925,20035,20930,22429,23734,24777,24772,25656,27037,27244,28413,29050,30931
3,17007,"Boone, IL",4242,4449,4943,5140,5719,6059,6745,7168,7480,8598,9354,9815,10837,11010,11777,13716,14700,15541,16013,17559,18191,18659,18646,20540,20832,23507,23975,24506,25329,26689,28599,28256,28131,28123,28549,28144,28719,30530,31764,32141
3,17009,"Brown, IL",2963,3220,3490,4287,5212,5147,6329,6074,6561,7719,8419,8102,9506,10085,9380,10741,11270,11642,11507,10760,12116,11449,11224,12719,13517,13982,14178,14951,15328,16063,15246,16593,17806,17768,19936,22187,21153,22189,24259,25068
3,17011,"Bureau, IL",3874,3936,4300,4764,5618,6029,7153,7451,7637,8763,9575,9271,11294,11821,11276,13450,14141,13891,14587,14650,15912,16473,17223,19021,19000,20226,19628,21721,22363,22773,23522,26061,27867,29210,29587,31931,31130,31902,34332,36423
3,17013,"Calhoun, IL",3016,3499,3374,3792,4591,4822,5750,6062,6360,7335,7705,7670,8268,8684,8928,10703,10952,11797,12669,12718,14760,14805,13895,15986,15963,17162,17834,19711,20755,21998,21905,23175,23654,23778,24613,26538,26471,27461,28915,31154
3,17015,"Carroll, IL",3913,4103,4449,4892,5337,5696,6255,6836,6728,7119,8127,8228,9458,10585,10428,13015,14669,14839,14580,14820,15499,16123,16570,18407,18615,20448,20167,21939,22815,24966,24680,25554,26516,25877,26546,26888,27022,28480,30782,31769
3,17017,"Cass, IL",3768,3967,4193,4615,5452,5774,6454,6474,6702,7944,8570,8333,10002,10688,10542,11537,11933,12673,13436,12226,14657,15428,15923,17222,17340,18446,18257,20287,21288,22403,22428,23677,24815,24373,26025,27485,26453,26940,28909,31313
3,17019,"Champaign, IL",3591,3654,4054,4379,4861,5281,6280,6604,7043,7563,8512,9066,10027,10703,11293,12581,13215,13746,14439,15202,16386,17286,17372,18190,18591,19461,20271,21219,22174,23370,24249,25988,27296,27646,31136,30140,29001,30297,32104,33574
3,17021,"Christian, IL",3760,3882,4300,4682,5669,6136,7083,7232,7818,7917,9046,9369,10797,11812,11882,13158,13450,14002,14240,14362,16229,17368,16727,18028,18188,19624,19672,21836,22738,22984,23212,24419,25463,25791,27377,28547,27276,28858,32089,33987
3,17023,"Clark, IL",3597,3608,3720,4349,4997,5183,5986,6066,6566,7389,8030,7694,8970,9836,10153,10879,11048,11876,12185,12210,14275,14962,15181,17163,17438,18116,18047,19514,20230,20437,20863,22428,23792,23975,25399,27638,27173,28159,29930,31940
3,17025,"Clay, IL",3054,3138,3392,4015,4450,4433,5275,5332,5923,6379,7081,7362,8769,9368,9548,10145,11547,11345,11636,13076,14662,14667,14251,16381,16517,16854,17217,18542,19708,20310,20401,21755,22748,22496,24480,26299,26371,27345,28957,30810
3,17027,"Clinton, IL",3078,3224,3497,3756,4446,4959,5477,5957,6608,7353,8167,8483,9744,10420,11340,12411,12429,13164,14075,14834,16012,16165,16419,18235,18620,19423,19977,21233,22559,24049,25153,26935,28802,29464,30912,31723,31917,33566,35062,36856
3,17029,"Coles, IL",3217,3404,3686,4084,4569,5013,5635,5784,6426,7039,7501,7830,8864,9529,10019,10923,11553,12151,12770,13379,14650,15351,15679,16969,17478,18387,18865,19560,20669,21633,21968,23159,24571,24767,26473,26483,26543,27566,29036,30342
3,17031,"Cook, IL",4717,5010,5288,5691,6283,6884,7347,8042,8861,9785,10735,11767,12931,13650,14366,15562,16364,17221,18240,19888,20667,22227,22555,23772,24205,25244,26622,27935,29392,31292,32055,34300,35060,35989,36553,38567,40553,43545,45908,46475
3,17033,"Crawford, IL",3274,3356,3760,4222,4949,5621,6276,6509,7178,7881,8813,8890,10663,11048,11297,12797,13288,13272,13674,14350,15343,16002,15634,17085,17777,17949,17850,19075,19765,20417,20590,22442,23906,24716,25487,27333,27069,29623,30932,33469
3,17035,"Cumberland, IL",3200,3052,3444,4110,4507,4730,5421,5386,6118,6798,7565,7012,7726,8423,9124,10150,10814,11590,12113,11958,14088,14474,14709,16825,17743,18626,18912,20147,21165,21485,22397,23601,25406,24888,26408,27883,26987,28237,30398,32633
3,17037,"DeKalb, IL",3620,3677,3906,4278,4859,5505,6144,6268,6873,8019,8745,9114,10243,11030,11154,12945,13618,13603,14218,15018,16412,16838,16817,18014,18699,19774,20741,22393,23309,24691,25367,26468,26565,26417,27317,27663,27380,28632,29692,30430
3,17039,"De Witt, IL",3655,3765,4192,4308,5328,5925,6816,7278,8277,8264,9404,9398,11054,11760,12055,14755,15426,13478,13346,14193,15429,15635,15950,17785,18162,19968,20670,22789,23419,24532,25436,26173,27320,27801,28121,30140,28721,30207,32711,35539
3,17041,"Douglas, IL",3882,4080,4536,5069,5994,6326,7360,7524,8006,8207,8810,8615,10165,10658,10948,12076,12330,12969,13084,13413,15314,15997,16285,17254,18045,19255,19250,21229,21954,22402,23284,25391,26546,26683,28872,30673,29625,30723,33402,36238
3,17043,"DuPage, IL",5243,5321,5745,6277,6986,7769,8257,9320,10318,11537,12759,13881,15235,15969,16979,19069,20359,21926,23577,25377,27194,27927,28592,30547,31486,32666,35199,37539,39655,42584,44707,47212,45864,45705,46781,48115,49585,53525,55407,55246
3,17045,"Edgar, IL",3707,3802,4257,4929,5860,6006,6936,7154,7556,8250,9061,8613,9831,10397,10480,11711,12266,12553,12952,13008,15098,15160,14962,16278,15930,17286,16314,18954,19711,22039,21897,24589,24570,22294,24699,26609,25655,27144,29058,32130
3,17047,"Edwards, IL",3042,3554,3591,4246,5462,5182,6323,6377,6438,7027,7658,7508,9167,10160,10603,11744,12191,12769,13308,13624,15368,15541,15178,16802,17547,18003,17847,20145,20320,19868,19593,21257,22939,23507,25444,27254,26037,27695,28752,30099
3,17049,"Effingham, IL",3159,3378,3779,4338,4964,5468,6062,6575,7213,8013,8780,8564,9450,10078,10759,11898,12250,12853,13725,14734,16546,16954,16665,17951,18269,19178,20314,21628,22605,23828,24038,25332,26571,27618,28504,29457,29421,30910,32903,34462
3,17051,"Fayette, IL",2708,2766,2993,3622,4109,4336,4940,5217,5934,6012,6813,6829,7955,8429,8808,9703,9739,10246,10630,11328,12618,12532,12756,14611,14965,15488,16040,17227,17362,17838,18061,19068,19864,19907,21580,23626,22552,23102,24767,26431
3,17053,"Ford, IL",4161,4277,5000,5250,6643,6907,8273,8447,8878,8801,10141,9539,10990,11630,11110,13404,14257,14613,15059,15970,16657,18428,17535,19228,20194,21014,20568,23486,24443,25426,25800,28222,29966,30132,33039,34096,33180,34431,36688,40516
3,17055,"Franklin, IL",2858,3119,3319,3767,4249,4510,5093,5533,6146,6597,7782,8481,9082,10127,10275,11222,11967,11988,11806,12277,13143,13451,13588,14740,14629,15854,16497,16958,17653,18500,18909,20098,21750,22404,23715,23776,23889,24768,26467,27091
3,17057,"Fulton, IL",3459,3662,3914,4381,5177,5502,6630,6973,7389,7653,8631,9164,10249,10428,10000,10794,11294,11778,12074,12491,13714,13923,14337,15403,15924,16826,17064,18779,19951,20709,21174,22337,23652,24626,26062,26839,26725,27894,29869,31617
3,17059,"Gallatin, IL",3031,3219,3238,3626,4037,4925,6079,5568,6115,6509,7541,7342,8262,8616,9556,10884,10670,11140,11821,12029,14960,14764,14345,17224,16805,16921,16563,18490,19471,19035,19487,20614,20828,21555,21805,22848,25036,26078,28597,30332
3,17061,"Greene, IL",3167,3159,3056,3367,4378,5006,5701,5484,5946,6662,7282,6865,8070,8880,8963,10055,10461,10848,11440,11263,12697,12782,12643,14394,13774,14126,14218,16301,17058,17820,17834,19378,21188,20718,22775,24415,23289,24325,25997,28069
3,17063,"Grundy, IL",4411,4594,4930,5231,6084,6837,7515,8109,8869,9606,10628,11018,12483,13259,12987,14826,15630,16292,17009,17648,19185,19690,19365,20898,21801,23095,23817,25545,26606,27412,28359,29500,30436,31577,32170,32055,31234,31916,33833,34920
3,17065,"Hamilton, IL",2525,2777,2857,3242,4182,4438,5172,4830,5279,5512,6215,6282,7882,8292,8183,10115,11233,11473,11803,11642,13726,13398,13264,15294,15511,16610,16592,18166,18364,18294,18382,19839,20891,21121,21969,23980,24771,25950,27494,29753
3,17067,"Hancock, IL",3138,3321,3756,4235,5212,5716,6614,6374,6829,7648,8581,8301,9429,10165,10070,11488,12233,12657,13113,13250,14761,14790,15441,17087,17085,18995,18915,21081,21864,22373,22665,24202,24512,24464,26146,28496,26918,28007,30286,33565
3,17069,"Hardin, IL",2195,2720,3015,3242,3371,3726,4606,4878,4677,4853,5265,5823,6968,8033,8478,9133,9784,10137,10924,11802,12681,12701,13697,14025,14152,14813,15419,15931,16381,17458,17899,18309,18513,19136,20912,20911,21727,21679,22656,23660
3,17071,"Henderson, IL",3629,3535,3996,4625,6103,5945,7349,6238,6701,7420,8208,7318,9507,9936,9268,11341,13060,12830,12823,12225,13185,13819,14536,16221,15379,17416,16791,19972,20408,21258,21366,23377,24608,23777,26223,27198,26191,27144,29678,32191
3,17073,"Henry, IL",3868,4028,4261,4817,5605,5903,6694,7042,7603,8242,9174,9491,10673,11154,10608,12334,13320,13371,14198,14593,15686,16117,16445,17731,17880,18964,19592,21558,22997,24353,24590,26013,27001,27543,28760,30258,29794,31269,33387,35152
3,17075,"Iroquois, IL",3788,3868,4383,4600,5886,6329,7410,7238,7856,7968,9172,8536,9521,10874,10626,12842,12833,12956,12627,13580,15329,16589,15745,17165,18190,19361,19393,21158,21755,22308,22553,24402,25105,25651,27439,28908,27793,29615,32549,35460
3,17077,"Jackson, IL",2577,2744,3009,3275,3823,4173,4938,5180,5530,6071,6761,7325,8013,8675,9281,10252,10552,10960,11699,12194,13187,13386,13778,14590,14858,15847,16902,17636,18643,19730,20458,21624,23045,24241,27734,26385,25936,26898,28782,30142
3,17079,"Jasper, IL",2990,3038,3350,4226,5022,4904,5971,6309,7594,7749,8408,7207,8576,8925,8766,10535,10928,11535,12132,12049,14838,14852,14460,17667,17966,18931,18069,20040,21088,20582,20426,22525,24015,23528,24225,27840,26228,27406,28900,31581
3,17081,"Jefferson, IL",2960,3291,3571,4064,4731,5138,5678,6091,6495,6765,7684,8256,9264,10227,10832,11809,12382,12723,13331,14115,14697,14946,15868,16597,16664,17425,18236,18991,19448,20492,20442,21752,23012,23614,24485,25653,26390,27782,29012,30288
3,17083,"Jersey, IL",3219,3309,3470,3844,4631,5057,5619,5855,6265,6916,7657,7959,9124,9354,9797,10753,11046,11647,12084,12911,14220,14634,15049,16725,17075,18539,19623,20996,22073,23120,24131,25580,27224,27445,28556,29735,30209,31523,33399,35087
3,17085,"Jo Daviess, IL",3295,3469,3869,4323,4748,5058,5479,6102,6447,7523,8021,8659,9934,10513,10676,12891,13305,13721,14520,15181,15956,17026,17404,19762,20148,21177,22457,24424,25717,28578,28309,28527,29931,29904,31594,33658,34096,35931,38509,39835
3,17087,"Johnson, IL",2500,2867,3262,3411,3691,3793,4432,4830,4748,5047,5465,5967,6689,7282,7680,8729,8616,8727,9140,9387,10302,10729,10929,11836,12517,13085,13327,13781,14579,15286,16108,16893,17690,19078,19818,19454,19479,19981,20742,21500
3,17089,"Kane, IL",4457,4667,5012,5477,6100,6628,7053,7817,8619,9480,10435,11309,12436,13529,14117,15392,16068,16856,17875,19184,20330,21270,21712,22960,23859,25013,25692,26555,27699,28534,29442,31168,31410,30798,31194,32347,33519,35264,36661,36903
3,17091,"Kankakee, IL",3551,3807,4156,4461,5130,5520,6033,6485,7061,7670,8284,8979,10087,10623,10900,11875,12437,13040,13690,14509,15458,16679,16780,17729,18467,19329,20572,21494,22027,22832,23515,25103,25777,26266,27102,27432,27695,28811,30393,31449
3,17093,"Kendall, IL",4677,4901,5137,5398,6139,7151,7573,8011,8791,9881,10633,11501,12476,12387,12497,14700,14894,15151,16009,17511,19149,19878,19472,20796,22439,23558,24434,26027,27485,28323,29778,31741,32435,31330,30935,31007,31482,32790,34386,36194
3,17095,"Knox, IL",3608,3932,4310,4741,5550,5916,6544,6978,7384,8103,8717,8983,10105,10816,10928,12060,12492,12893,13442,13746,14926,15435,16002,17238,17615,18294,18893,20457,21597,22479,22637,23568,24577,25426,26622,26895,26545,27381,29768,31534
3,17097,"Lake, IL",5078,5185,5583,6056,6729,7442,7928,8874,9796,10871,11938,13316,14761,15899,16845,18851,20033,21398,22900,24881,26808,29181,29183,31697,32172,33705,36016,37863,39272,41732,43250,46594,45829,45957,46621,48459,50167,53362,55802,55804
3,17099,"LaSalle, IL",3858,3996,4194,4554,5311,5934,6686,7155,7770,8571,9556,9681,10962,11634,11833,13438,13800,13878,14065,14477,15817,16002,16599,18130,18626,19676,20160,21623,22441,23333,24080,26216,26432,26608,27613,28980,29306,30857,32902,34304
3,17101,"Lawrence, IL",3260,3359,3414,3890,4644,5239,5619,6049,6555,7200,7940,8277,9759,10632,11490,12523,12910,12508,12803,13255,14383,15806,15953,18257,18455,19228,19379,20573,21086,22322,21767,24628,24242,23386,23631,25690,24845,25836,26467,28141
